Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Price and Metrics
YESBANK,Yes Bank Limited,Midcap,18.11,25.9,0.48,44.97,0.70,17.06,29.80,23.15%,99.85%,Data not found,Data not found,Data not found,Data not found,4.89%,0.55%,-0.45%,1.19,,underperform,16.54545,Neutral,
SRF,SRF Limited,Midcap,"2,812.15",72.61,0.59,60.6,38.69,"2,089.10","2,983.90",4.51%,-22.30%,8.22%,17.33%,0.56,1.03,12.25%,6.10%,-9.78%,,0.44,hold,2638.2144,Neutral,
SBICARD,SBI Cards and Payment Services Limited,Midcap,782.65,33.73,0.39,54.04,23.25,647.95,846.50,1.30%,-4.19%,20.77%,Data not found,20.66,20.66,18.31%,3.94%,-1.73%,5.7,3.3,hold,737.7083,Neutral,
FEDERALBNK,The Federal Bank Limited,Midcap,183.67,11.24,0.95,41.58,16.34,139.65,217.00,15.51%,-4.21%,Data not found,Data not found,Data not found,Data not found,14.85%,1.35%,29.21%,1.38,,buy,218.70589,Neutral,
MARICO,Marico Limited,Midcap,634.70,51.24,0.25,38.59,12.36,486.30,736.90,7.95%,9.19%,15.45%,19.88%,0.97,1.64,36.97%,16.28%,16.77%,,0.1,buy,724.3158,Neutral,
COLPAL,Colgate-Palmolive (India) Limited,Midcap,"2,550.50",47.47,0.38,34.84,53.74,"2,476.25","3,890.00",9.50%,15.98%,24.09%,32.62%,0.85,1.54,73.73%,35.61%,6.04%,,0.04,hold,2849.1875,Neutral,
CONCOR,Container Corporation of India Limited,Midcap,688.45,32.28,0.62,33.71,21.45,687.05,"1,180.00",4.53%,6.90%,14.61%,21.69%,2.99,3.44,10.85%,6.26%,-8.33%,3.47,0.07,hold,831.4706,Neutral,
MPHASIS,Mphasis Limited,Midcap,"2,718.15",31.27,0.76,43.56,86.55,"2,187.00","3,237.95",5.32%,4.87%,11.84%,15.85%,1.47,1.67,18.59%,8.98%,4.43%,,0.2,buy,3196.8438,Neutral,
POLICYBZR,PB Fintech Limited,Midcap,"1,539.30",294.58,0.48,34.98,5.23,907.20,"2,246.90",41.70%,Data not found,5.33%,-1.63%,7.88,8.00,1.13%,-2.65%,170.91%,11.4,0.05,hold,1769.9474,Neutral,
DIXON,Dixon Technologies (India) Limited,Midcap,"14,666",106.06,0.58,42.55,138.28,"6,200","19,149",106.39%,130.84%,2.38%,3.48%,0.60,1.02,24.94%,5.75%,174.32%,37.28,0.31,buy,16565.926,Neutral,
MRF,MRF Limited,Midcap,"108,716",26.3,0.39,27.16,"4,133.98","108,419","151,445",11.20%,-13.45%,6.39%,13.84%,0.74,1.37,13.25%,7.05%,0.81%,2.61,0.18,hold,116536.445,Neutral,
ACC,ACC Limited,Midcap,"1,935.30",14.04,0.49,38.14,137.86,"1,838.60","2,844.00",9.12%,59.48%,12.30%,13.70%,1.03,1.60,15.33%,6.17%,-7.18%,2.19,0.03,buy,2374.6287,Neutral,
HINDPETRO,Hindustan Petroleum Corporation Limited,Midcap,330.00,11.65,0.92,38.66,28.33,295.37,457.15,2.68%,-64.36%,1.38%,3.76%,0.20,0.61,40.45%,7.10%,53.70%,1.53,1.58,buy,398.3854,Neutral,
MUTHOOTFIN,Muthoot Finance Limited,Midcap,"2,188.20",18.78,0.99,52.49,116.53,"1,261.90","2,308.95",24.70%,17.46%,45.63%,Data not found,114.56,114.56,19.12%,4.82%,62.29%,3.3,3.01,none,2181.1,Neutral,
GMRAIRPORT,GMR Airports Limited,Midcap,72.75,,0.82,40.35,-0.35,68.90,103.75,21.67%,Data not found,-2.76%,35.03%,0.88,1.06,-1671.32%,2.06%,70.61%,,,buy,81.66667,Neutral,
PHOENIXLTD,The Phoenix Mills Limited,Midcap,"1,576.80",53.88,0.71,45.78,29.03,"1,215.40","2,068.50",Data not found,1.00%,25.89%,55.38%,0.92,1.51,11.36%,6.53%,45.83%,,0.35,buy,1754.0,Neutral,
CUMMINSIND,Cummins India Limited,Midcap,"2,836.30",39.09,0.9,46.08,72.49,"2,520.05","4,171.90",18.85%,31.29%,19.62%,22.59%,2.32,2.89,27.82%,13.42%,67.01%,,0.0,buy,3382.44,Neutral,
KPITTECH,KPIT Technologies Limited,Midcap,"1,364.00",49.69,1.06,47.32,27.78,"1,223.25","1,928.70",23.14%,40.01%,13.48%,18.60%,1.21,1.33,31.28%,13.14%,-3.17%,14.98,0.14,buy,1693.2778,Neutral,
TATACOMM,Tata Communications Limited,Midcap,"1,605.80",40.89,1.52,35.74,39.19,"1,550.00","2,175.00",15.63%,14.77%,4.87%,16.92%,0.36,0.44,58.08%,4.88%,-3.78%,24.46,6.97,hold,1839.4286,Neutral,
INDHOTEL,The Indian Hotels Company Limited,Midcap,748.00,59.01,0.46,44.47,12.67,506.45,894.90,20.28%,53.98%,22.56%,33.09%,1.39,1.54,14.17%,8.09%,100.43%,,0.26,buy,860.2174,Neutral,
ALKEM,Alkem Laboratories Limited,Midcap,"4,616.80",26.12,0.49,29.63,180.09,"4,407.05","6,439.90",0.97%,36.88%,16.88%,19.34%,1.68,2.61,17.98%,8.38%,8.29%,4.89,0.12,hold,5395.952,Neutral,
NMDC,NMDC Limited,Midcap,60.78,8.35,0.93,39.15,7.37,59.70,95.45,13.16%,0.72%,27.69%,34.92%,1.99,2.56,23.07%,13.21%,-5.49%,,0.15,hold,75.27778,Neutral,
ASTRAL,Astral Limited,Midcap,"1,416.55",72.28,0.54,30.61,19.58,"1,416.05","2,454.00",4.59%,-7.77%,9.11%,15.73%,0.89,1.77,17.52%,10.25%,-13.38%,11.27,0.06,buy,1811.091,Neutral,
BHARATFORG,Bharat Forge Limited,Midcap,"1,119.70",56.17,1.05,32.82,20.34,"1,074.45","1,804.50",8.14%,41.55%,5.98%,16.88%,0.53,1.04,12.61%,6.20%,38.87%,,1.08,hold,1405.0435,Neutral,
POLYCAB,Polycab India Limited,Midcap,"5,402.35",45.18,0.64,32.32,121.92,"4,278.00","7,605.00",25.30%,10.30%,8.75%,12.64%,1.04,2.32,22.17%,12.34%,32.81%,9.13,0.02,buy,7434.1724,Neutral,
LUPIN,Lupin Limited,Midcap,"2,067.60",32.88,0.59,42.72,62.70,"1,493.30","2,402.90",15.19%,97.05%,12.26%,21.46%,1.01,1.88,18.27%,9.52%,87.33%,,0.22,hold,2270.8823,Neutral,
VOLTAS,Voltas Limited,Midcap,"1,292.65",59.71,0.44,32.94,21.65,"1,023.95","1,944.90",32.16%,156.66%,4.83%,6.59%,0.91,1.34,4.37%,2.54%,82.96%,6.81,0.14,buy,1553.7648,Neutral,
UPL,UPL Limited,Midcap,610.70,,1.05,60.24,-1.20,429.52,649.45,-0.98%,-,-0.21%,12.05%,0.95,1.46,-5.51%,1.96%,-4.12%,,1.05,buy,666.13074,Neutral,
GODREJPROP,Godrej Properties Limited,Midcap,"2,025.95",38.1,0.97,34.11,53.17,"2,025.95","3,402.70",29.84%,121.92%,35.23%,1.61%,0.25,1.43,7.63%,-0.30%,49.92%,5.19,1.22,buy,3144.611,Neutral,
SUNDARMFIN,Sundaram Finance Limited,Midcap,"4,345.05",30.08,0.52,44.85,144.66,"3,622.25","5,535.85",20.36%,-0.45%,40.02%,Data not found,4.41,4.49,15.53%,3.06%,18.11%,3.83,3.82,hold,4491.222,Neutral,
AUROPHARMA,Aurobindo Pharma Limited,Midcap,"1,147.70",19.19,0.64,43.85,59.81,958.50,"1,592.00",10.85%,26.62%,11.29%,21.25%,0.96,1.98,11.18%,6.46%,22.03%,2.17,0.27,buy,1503.2142,Neutral,
ABCAPITAL,Aditya Birla Capital Limited,Midcap,160.62,11.35,1.22,35.29,14.13,160.00,246.90,26.58%,32.53%,12.73%,Data not found,3.14,3.28,13.63%,1.67%,7.15%,1.46,3.99,strong_buy,246.44444,Neutral,
APLAPOLLO,APL Apollo Tubes Limited,Midcap,"1,406.60",60.11,0.79,32.71,22.86,"1,305.00","1,728.95",12.19%,-10.96%,3.18%,5.43%,0.61,1.34,22.16%,9.80%,2.07%,,0.27,buy,1771.0625,Neutral,
SAIL,Steel Authority of India Limited,Midcap,102.17,18.41,1.71,40.71,5.43,99.50,175.35,-5.26%,-27.69%,2.23%,10.11%,0.20,0.90,5.48%,2.79%,-8.51%,0.72,0.72,none,111.76923,Neutral,
