Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Expert Recommendation Score,News Sentiment Score,Total Score,Rank
YESBANK,Yes Bank Limited,Midcap,18.11,25.9,0.48,44.97,0.7,17.06,29.8,23.15,99.85,,,,,4.89,0.55,-0.45,1.19,,underperform,16.55,Neutral,10,10,10,2,4,0,0,2,0,2,4,6,5.1000000000000005,44.0
SRF,SRF Limited,Midcap,2812.15,72.61,0.59,60.6,38.69,2089.1,2983.9,4.51,-22.3,8.22,17.33,0.56,1.03,12.25,6.1,-9.78,,0.44,hold,2638.21,Neutral,4,1,8,2,8,4,6,6,10,6,6,6,5.209999999999999,42.0
SBICARD,SBI Cards and Payment Services Limited,Midcap,782.65,33.73,0.39,54.04,23.25,647.95,846.5,1.3,-4.19,20.77,,20.66,20.66,18.31,3.94,-1.73,5.7,3.3,hold,737.71,Neutral,4,1,8,2,4,8,0,8,2,4,6,6,4.409999999999999,46.0
FEDERALBNK,The Federal Bank Limited,Midcap,183.67,11.24,0.95,41.58,16.34,139.65,217.0,15.51,-4.21,,,,,14.85,1.35,29.21,1.38,,buy,218.71,Neutral,8,1,10,6,10,0,0,6,0,4,8,6,4.87,45.0
MARICO,Marico Limited,Midcap,634.7,51.24,0.25,38.59,12.36,486.3,736.9,7.95,9.19,15.45,19.88,0.97,1.64,36.97,16.28,16.77,,0.1,buy,724.32,Neutral,6,6,10,6,4,6,8,10,10,10,8,6,7.92,17.0
COLPAL,Colgate-Palmolive (India) Limited,Midcap,2550.5,47.47,0.38,34.84,53.74,2476.25,3890.0,9.5,15.98,24.09,32.62,0.85,1.54,73.73,35.61,6.04,,0.04,hold,2849.19,Neutral,6,8,10,6,4,8,10,10,10,10,6,6,8.559999999999999,9.0
CONCOR,Container Corporation of India Limited,Midcap,688.45,32.28,0.62,33.71,21.45,687.05,1180.0,4.53,6.9,14.61,21.69,2.99,3.44,10.85,6.26,-8.33,3.47,0.07,hold,831.47,Neutral,4,6,10,8,8,6,8,6,10,6,6,6,7.159999999999998,25.0
MPHASIS,Mphasis Limited,Midcap,2718.15,31.27,0.76,43.56,86.55,2187.0,3237.95,5.32,4.87,11.84,15.85,1.47,1.67,18.59,8.98,4.43,,0.2,buy,3196.84,Neutral,6,4,10,6,8,4,6,8,10,8,8,6,7.02,28.0
POLICYBZR,PB Fintech Limited,Midcap,1539.3,294.58,0.48,34.98,5.23,907.2,2246.9,41.7,,5.33,-1.63,7.88,8.0,1.13,-2.65,170.91,11.4,0.05,hold,1769.95,Neutral,10,0,10,6,4,4,2,2,10,2,6,6,5.16,43.0
DIXON,Dixon Technologies (India) Limited,Midcap,14666.0,106.06,0.58,42.55,138.28,6200.0,19149.0,106.39,130.84,2.38,3.48,0.6,1.02,24.94,5.75,174.32,37.28,0.31,buy,16565.93,Neutral,10,10,10,6,8,2,2,8,10,6,8,6,7.720000000000001,20.0
MRF,MRF Limited,Midcap,108716.0,26.3,0.39,27.16,4133.98,108419.0,151445.0,11.2,-13.45,6.39,13.84,0.74,1.37,13.25,7.05,0.81,2.61,0.18,hold,116536.44,Neutral,8,1,4,4,4,4,6,6,10,8,6,6,5.609999999999999,41.0
ACC,ACC Limited,Midcap,1935.3,14.04,0.49,38.14,137.86,1838.6,2844.0,9.12,59.48,12.3,13.7,1.03,1.6,15.33,6.17,-7.18,2.19,0.03,buy,2374.63,Neutral,6,10,10,8,4,6,6,8,10,6,8,6,7.92,18.0
