Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price
YESBANK,Yes Bank Limited,Midcap,18.49,26.27,0.53,43.23,0.70,17.06,32.85,20.89%,98.91%,Data not found,Data not found,Data not found,Data not found,4.08%,0.46%,42.05%,1.21,n/a,underperform,16.0
SRF,SRF Limited,Midcap
SBICARD,SBI Cards and Payment Services Limited,Midcap
FEDERALBNK,The Federal Bank Limited,Midcap
MARICO,Marico Limited,Midcap
COLPAL,Colgate-Palmolive (India) Limited,Midcap
CONCOR,Container Corporation of India Limited,Midcap
MPHASIS,Mphasis Limited,Midcap
POLICYBZR,PB Fintech Limited,Midcap
DIXON,Dixon Technologies (India) Limited,Midcap
MRF,MRF Limited,Midcap
ACC,ACC Limited,Midcap
HINDPETRO,Hindustan Petroleum Corporation Limited,Midcap
MUTHOOTFIN,Muthoot Finance Limited,Midcap
GMRAIRPORT,GMR Airports Limited,Midcap
PHOENIXLTD,The Phoenix Mills Limited,Midcap
CUMMINSIND,Cummins India Limited,Midcap
KPITTECH,KPIT Technologies Limited,Midcap
TATACOMM,Tata Communications Limited,Midcap
INDHOTEL,The Indian Hotels Company Limited,Midcap
ALKEM,Alkem Laboratories Limited,Midcap
NMDC,NMDC Limited,Midcap
ASTRAL,Astral Limited,Midcap
BHARATFORG,Bharat Forge Limited,Midcap
POLYCAB,Polycab India Limited,Midcap
LUPIN,Lupin Limited,Midcap
VOLTAS,Voltas Limited,Midcap
UPL,UPL Limited,Midcap
GODREJPROP,Godrej Properties Limited,Midcap
SUNDARMFIN,Sundaram Finance Limited,Midcap
AUROPHARMA,Aurobindo Pharma Limited,Midcap
ABCAPITAL,Aditya Birla Capital Limited,Midcap
APLAPOLLO,APL Apollo Tubes Limited,Midcap
SAIL,Steel Authority of India Limited,Midcap
ASHOKLEY,Ashok Leyland Limited,Midcap
MAXHEALTH,Max Healthcare Institute Limited,Midcap
LTF,L&T Finance Limited,Midcap
PETRONET,Petronet LNG Limited,Midcap
OFSS,Oracle Financial Services Software Limited,Midcap
PERSISTENT,Persistent Systems Limited,Midcap
PIIND,PI Industries Limited,Midcap
OBEROIRLTY,Oberoi Realty Limited,Midcap
INDUSTOWER,Indus Towers Limited,Midcap
HDFCAMC,HDFC Asset Management Company Limited,Midcap
CGPOWER,CG Power and Industrial Solutions Limited,Midcap
SUZLON,Suzlon Energy Limited,Midcap
IDEA,Vodafone Idea Limited,Midcap
SUPREMEIND,The Supreme Industries Limited,Midcap
IDFCFIRSTB,IDFC First Bank Limited,Midcap
AUBANK,AU Small Finance Bank Limited,Midcap
