Stock Symbol,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Total Score,Rank
YESBANK,Midcap,18.49,26.44,0.53,43.23,0.7,17.06,32.85,20.89,98.91,,,,,4.08,0.46,42.05,1.22,,,16.0,10,10,10,2,8,0,0,2,0,2,5.000000000000001,42.0
SRF,Midcap,2570.4,67.45,0.59,63.01,38.09,2089.1,2697.7,-1.83,-34.87,8.36,17.53,0.46,1.03,9.88,5.12,11.06,,0.44,,2303.68,2,1,8,2,8,4,6,4,10,6,4.35,45.0
SBICARD,Midcap,770.5,32.41,0.37,60.12,23.25,647.95,817.4,1.3,-4.19,20.77,,20.66,20.66,18.31,3.94,-1.73,5.48,3.3,,716.75,4,1,8,2,4,8,0,8,2,4,4.05,46.0
FEDERALBNK,Midcap,192.92,11.69,0.94,45.62,16.34,139.65,217.0,15.51,-4.21,,,,,14.85,1.35,29.21,1.44,,,226.06,8,1,10,6,10,0,0,6,0,4,4.45,44.0
MARICO,Midcap,660.5,53.49,0.25,57.16,12.26,486.3,719.85,3.56,12.68,15.87,20.53,1.17,2.04,33.74,14.9,24.13,,0.1,,708.34,4,6,8,4,4,6,8,10,10,10,6.8,26.0
COLPAL,Midcap,2708.6,50.15,0.38,42.01,54.02,2476.25,3890.0,10.39,25.24,24.48,33.16,1.01,1.31,86.0,36.23,89.63,,0.04,,3052.0,8,10,10,6,4,8,10,10,10,10,8.8,4.0
CONCOR,Midcap,748.5,35.32,0.62,38.07,20.86,725.0,1180.0,7.14,7.18,14.2,21.77,3.27,3.79,10.62,6.24,28.22,3.69,0.07,,915.82,6,6,10,8,8,6,8,6,10,6,7.1,22.0
MPHASIS,Midcap,2937.1,33.76,0.76,53.98,86.55,2187.0,3237.95,5.64,4.87,11.8,15.98,1.47,1.58,18.59,8.98,4.43,,0.2,,3191.12,6,4,8,4,8,4,6,8,10,8,6.199999999999999,32.0
POLICYBZR,Midcap,1648.05,369.24,0.52,37.32,4.45,852.0,2246.9,39.97,,5.06,-2.8,5.92,6.05,3.54,-1.55,115.06,12.55,0.05,,1758.45,10,0,10,4,8,4,2,2,10,2,4.8,43.0
DIXON,Midcap,15433.0,111.6,0.54,39.63,138.28,5800.0,19149.0,106.39,130.84,2.38,3.48,0.6,1.02,24.94,5.75,174.32,39.23,0.31,,16620.0,10,10,10,4,8,2,2,8,10,6,7.100000000000001,21.0
MRF,Midcap,111256.0,24.23,0.39,19.69,4592.0,110100.0,151445.0,10.12,15.18,7.32,15.34,0.74,1.42,11.63,6.12,29.1,2.67,0.18,,118412.56,8,8,4,4,4,4,6,6,10,6,6.1,34.0
ACC,Midcap,1988.0,14.47,0.48,49.97,137.86,1838.6,2844.0,8.05,59.48,12.42,16.26,1.03,1.6,15.33,6.17,-6.84,2.26,0.03,,2547.69,6,10,10,8,4,6,6,8,10,6,7.5,17.0
HINDPETRO,Midcap,345.95,12.21,0.97,33.95,28.33,286.77,457.15,2.68,-64.36,1.38,3.76,0.2,0.61,40.45,7.1,53.7,1.61,1.58,,399.35,4,1,10,6,10,2,2,10,4,8,5.25,41.0
MUTHOOTFIN,Midcap,2109.0,18.36,0.98,46.44,116.53,1261.9,2275.0,24.7,17.46,45.63,,114.56,114.56,19.12,4.82,62.29,3.23,3.01,,2161.1,10,8,10,4,10,10,0,8,2,6,7.1,23.0
GMRAIRPORT,Midcap,70.51,,0.8,33.47,-1.24,69.27,103.75,23.47,,-8.99,33.8,0.63,0.88,-1671.32,2.07,176.31,,,,85.33,10,0,10,8,10,2,10,2,0,4,5.6000000000000005,38.0
PHOENIXLTD,Midcap,1483.95,50.26,0.71,40.46,33.74,1135.05,2068.5,,30.55,26.19,55.46,0.31,0.73,10.8,6.24,104.48,,0.35,,1674.47,0,10,10,6,8,10,10,6,10,6,7.199999999999999,20.0
CUMMINSIND,Midcap,2723.5,39.41,0.9,22.46,70.34,2190.05,4171.9,17.27,34.89,20.13,23.3,2.35,2.99,29.89,14.8,124.77,,0.0,,3624.08,8,10,4,10,10,8,8,10,10,10,8.7,5.0
KPITTECH,Midcap,1301.5,48.87,1.05,37.44,26.63,1268.95,1928.7,27.88,49.35,13.45,18.48,1.14,1.3,33.43,13.69,41.6,14.12,0.14,,1701.06,10,10,10,10,10,6,8,10,10,10,9.399999999999999,1.0
TATACOMM,Midcap,1570.25,42.07,1.51,37.19,39.19,1551.55,2175.0,15.63,14.77,4.87,16.92,0.36,0.44,58.08,4.88,-3.78,25.17,6.97,,1839.43,8,6,10,6,4,2,6,10,2,6,6.399999999999999,30.0
