Stock Symbol,Theme
ICICIBANK,Midcap
HDFCBANK,Midcap
KOTAKBANK,Midcap
BANKBARODA,Midcap
AXISBANK,Midcap
INDUSINDBK,Midcap
AUBANK,Midcap
SBIN,Midcap
FEDERALBNK,Midcap
IDFCFIRSTB,Midcap
CANBK,Midcap
PNB,Midcap
YESBANK,Midcap
SRF,Midcap
SBICARD,Midcap
MARICO,Midcap
COLPAL,Midcap
CONCOR,Midcap
MPHASIS,Midcap
POLICYBZR,Midcap
DIXON,Midcap
MRF,Midcap
ACC,Midcap
HINDPETRO,Midcap
MUTHOOTFIN,Midcap
GMRAIRPORT,Midcap
PHOENIXLTD,Midcap
CUMMINSIND,Midcap
KPITTECH,Midcap
TATACOMM,Midcap
INDHOTEL,Midcap
ALKEM,Midcap
NMDC,Midcap
ASTRAL,Midcap
BHARATFORG,Midcap
POLYCAB,Midcap
LUPIN,Midcap
VOLTAS,Midcap
UPL,Midcap
GODREJPROP,Midcap
SUNDARMFIN,Midcap
AUROPHARMA,Midcap
ABCAPITAL,Midcap
APLAPOLLO,Midcap
SAIL,Midcap
ASHOKLEY,Midcap
MAXHEALTH,Midcap
LTF,Midcap
PETRONET,Midcap
OFSS,Midcap
PERSISTENT,Midcap
PIIND,Midcap
OBEROIRLTY,Midcap
INDUSTOWER,Midcap
HDFCAMC,Midcap
CGPOWER,Midcap
SUZLON,Midcap
IDEA,Midcap
SUPREMEIND,Midcap
